Crime ID,Month,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
f59340ced1e72e49b50888f1c030c8b764caede225f43621b7c16b6be73174dc,2014-02,-2.498613,51.416002,On or near High Street,E01014400,Bath and North East Somerset 001B,Drugs,Offender given a drugs possession warning
83a5e60f2deb1ab8c412d2a3da356b8bf8d8445693cb869273b8f3907d55100b,2014-02,-2.501717,51.407906,On or near Dudley Close,E01014404,Bath and North East Somerset 002C,Drugs,Court result unavailable
c60cc942bd64feaa611a412afa85443dfc7923c4747263dfa410975119a969c7,2014-02,-2.483897,51.4046,On or near Witham Road,E01014398,Bath and North East Somerset 003D,Drugs,Offender given conditional discharge
50df68fa35920b3271cb7811ccfe4350a6b1c3cd04a68d141d8f930bbdcaa03b,2014-02,-2.345114,51.401467,On or near Rose Hill,E01014409,Bath and North East Somerset 004A,Drugs,Offender given a drugs possession warning
2d309e5e805347178b7ca07da74bc65b81cd9f9676f58bc5e812ea9dc938f150,2014-02,-2.394758,51.402228,On or near The Macies,E01014477,Bath and North East Somerset 005A,Drugs,Offender fined
8331e17200c70436bcc8883824f925cd2530334283ff98e6b868ac6937bbf729,2014-02,-2.350423,51.392676,On or near London Road,E01014467,Bath and North East Somerset 006C,Drugs,Offender given a drugs possession warning
4ffe99b851427f95edbbc8821f2effce9ccfb454ea2abeedd53cd5943fc0c117,2014-02,-2.353544,51.391138,On or near Bedford Street,E01014468,Bath and North East Somerset 006D,Drugs,Offender given a drugs possession warning
d5ef659e007a8f90d89b52b178c26b411d5c103f88b71f31f4f6b75a223c76dc,2014-02,-2.361416,51.381448,On or near Westgate Street,E01014370,Bath and North East Somerset 007A,Drugs,Offender given a drugs possession warning
9e41f9c678b52c9666cf7a0c1faa4d2b8aea987d5d320ba92520c872958a3e06,2014-02,-2.358811,51.384585,On or near Parking Area,E01014370,Bath and North East Somerset 007A,Drugs,Under investigation
427d69d0c2d054cd2bdb8ac38aa810bc47c3ad82d4b77f047fb905df701c4b20,2014-02,-2.358249,51.378904,On or near Parking Area,E01014371,Bath and North East Somerset 007B,Drugs,Under investigation
803e3601ca5664d4b3d13011c3185e6e163fd75b884f5d9e16a586e8b0367cd9,2014-02,-2.359207,51.37837,On or near Shopping Area,E01014371,Bath and North East Somerset 007B,Drugs,Offender given a caution
f2467035a3c207d2b01e004ad3417f59c3fe729e131c8151450a61e758d8c0e6,2014-02,-2.300604,51.400826,On or near Titan Barrow,E01014376,Bath and North East Somerset 010D,Drugs,Offender given a caution
8cc697eeaf31a250b48b04ae8d9eeb6b3cc7d5378ae8661837f094e0b7f20690,2014-02,-2.402846,51.306681,On or near Gullen,E01033079,Bath and North East Somerset 010H,Drugs,Offender given a drugs possession warning
143a536118f4a1c57f8b604303ba80c7934677c6b6248b12d7811faf43a03252,2014-02,-2.405353,51.381088,On or near Newton Road,E01014463,Bath and North East Somerset 011C,Drugs,Offender given a drugs possession warning
fb158b886a5cab54dca6cdf566b67ef78bb17e9a4d6fe38ea82ef85ad144965b,2014-02,-2.405404,51.381987,On or near Redland Park,E01014463,Bath and North East Somerset 011C,Drugs,Offender given a drugs possession warning
d1c6384a81dbcd33d0926ac089924b059cbef299083d9c54950916e178ae11fa,2014-02,-2.395304,51.380484,On or near Clyde Gardens,E01014464,Bath and North East Somerset 011D,Drugs,Offender given a drugs possession warning
2b6a504602b293437fa3cd0bf1dca044bfaca305a6470bd018060787d5f1c921,2014-02,-2.325452,51.377642,On or near Convocation Avenue,E01014380,Bath and North East Somerset 012A,Drugs,Offender given a drugs possession warning
f546ddc372fdc21e66b34917579f5a88afc55a0613dfe254508dbc5f94b4241d,2014-02,-2.366562,51.376342,On or near Crescent View,E01014481,Bath and North East Somerset 012C,Drugs,Offender given conditional discharge
4a9a5b2d75ba12ad5c4c94a54fa1cd0e3e3426c927c8c7ccaa7267a468762b0b,2014-02,-2.381217,51.371152,On or near Hazel Grove,E01014437,Bath and North East Somerset 014C,Drugs,Offender sent to prison
7bff8b5aa3a24aa766a407d53bdb28225c254581d52aee9a55a3c3cd56e4f179,2014-02,-2.391798,51.36877,On or near Melrose Grove,E01014456,Bath and North East Somerset 015B,Drugs,Investigation complete; no suspect identified
bbcf0fce4bf9dd7beb7661b6c5e609b09794e6c0bba9b6552d65189b9c63916b,2014-02,-2.397968,51.374576,On or near East Way,E01014458,Bath and North East Somerset 015D,Drugs,Offender given a drugs possession warning
3e181cf32d41dfcb62911cd217641866adfacc99da177c8145bdfb14a60e21cb,2014-02,-2.456812,51.401669,On or near Bath Road,E01014452,Bath and North East Somerset 016C,Drugs,Offender fined
52983701939174a6e51db71fc88fc1121946915e2d4075661663289ede0c026b,2014-02,-2.578453,51.357027,On or near The Drive,E01014385,Bath and North East Somerset 020A,Drugs,Offender given a caution
df8f3de6e205ddbad1f0f2014cf81c0f0a0ae416eb7acdf6b38668e1d35eb036,2014-02,-2.578453,51.357027,On or near The Drive,E01014385,Bath and North East Somerset 020A,Drugs,Offender given a drugs possession warning
6a6f05273a60de6c9acfe77b589096daa232f71c9ad6b16dd0441866af737f61,2014-02,-2.53958,51.376833,On or near Publow Lane,E01014446,Bath and North East Somerset 020D,Drugs,Offender given a caution
7c5f9a13ec2088018d8647074c6179520568da3af38c7ed422a12eac1ce27d21,2014-02,-2.458279,51.304004,On or near Overdale,E01014448,Bath and North East Somerset 024A,Drugs,Offender given a drugs possession warning
dfc13c6e0cfcb2d2bffe3d279330eb963338a3009dfcc4a8dadb5822dc9aa6df,2014-02,-2.480634,51.28665,On or near High Street,E01014423,Bath and North East Somerset 025D,Drugs,Offender given a caution
d8f5a607d3e90aebc19986cb7155bceafe86017580c3e3db19a192e2d3ea268f,2014-02,-2.450944,51.290338,On or near Further/Higher Educational Building,E01014471,Bath and North East Somerset 026C,Drugs,Offender given a drugs possession warning
